epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,2934.58,0.87634,1.57195,0.57547,1.00171,0,0.81886,0.82353,0.90277,0.65377,0.81886,0.82353,0.90277,0.74055,1.03985,0.5744,0.75661,1.54597,0,0.0008912,0.0008912,0.0008912
30,3035.24,0.85027,1.52615,0.5606,0.98948,0,0.9305,0.78848,0.90696,0.66153,0.88176,0.87764,0.92803,0.75455,0.8975,0.57718,0.72781,1.42173,0,0.0008516,0.0008516,0.0008516
31,3136.01,0.85965,1.51179,0.55927,0.9988,0,0.97107,0.76471,0.92952,0.66115,0.90656,0.82353,0.9431,0.7275,0.99991,0.69889,0.70208,1.52953,0,0.000812,0.000812,0.000812
32,3236.96,0.85071,1.51759,0.55487,0.98987,0,1,0.69852,0.89806,0.66332,0.87516,0.88235,0.92597,0.76276,1.02402,0.56056,0.71127,1.53194,0,0.0007724,0.0007724,0.0007724
33,3337.6,0.85041,1.51239,0.54155,0.98374,0,0.91673,0.94118,0.95026,0.71508,0.91673,0.94118,0.95732,0.77489,0.95695,0.61805,0.68191,1.47853,0,0.0007328,0.0007328,0.0007328
34,3438.26,0.83291,1.49862,0.53418,0.97974,0,0.83662,0.9044,0.94643,0.68313,0.90934,0.82353,0.95778,0.76661,0.98262,0.64778,0.63749,1.56871,0,0.0006932,0.0006932,0.0006932
35,3538.82,0.85782,1.52121,0.54058,0.99474,0,1,0.67426,0.8918,0.67486,0.89993,0.76471,0.91798,0.73839,0.96864,0.65089,0.80956,1.47435,0,0.0006536,0.0006536,0.0006536
36,3639.36,0.81804,1.45963,0.51641,0.97159,0,0.9981,0.82353,0.92299,0.70331,0.9981,0.82353,0.92299,0.78749,0.9172,0.62698,0.66542,1.49186,0,0.000614,0.000614,0.000614
37,3740.04,0.83438,1.50018,0.52995,0.98031,0,0.87893,0.855,0.95195,0.70288,0.95565,0.88235,0.96576,0.75516,0.91382,0.61158,0.6533,1.44472,0,0.0005744,0.0005744,0.0005744
38,3840.58,0.81631,1.48769,0.51742,0.97509,0,0.8557,0.88235,0.92861,0.69726,0.8557,0.88235,0.91647,0.79148,0.91919,0.60484,0.70202,1.46184,0,0.0005348,0.0005348,0.0005348
39,3941.41,0.81322,1.44766,0.50489,0.97636,0,1,0.86278,0.93553,0.73772,1,0.86278,0.93553,0.79762,0.90067,0.58307,0.65638,1.42528,0,0.0004952,0.0004952,0.0004952
40,4042.13,0.81132,1.43651,0.49813,0.97288,0,0.96678,0.88235,0.93071,0.67164,0.96678,0.88235,0.93553,0.73466,0.98694,0.65802,0.58036,1.56305,0,0.0004556,0.0004556,0.0004556
41,4144.86,0.81591,1.44444,0.47263,0.97343,0,1,0.92541,0.945,0.74015,1,0.92541,0.945,0.77978,0.85441,0.69088,0.58626,1.40633,0,0.000416,0.000416,0.000416
42,4246.59,0.81183,1.43227,0.45535,0.96834,0,0.93125,0.94118,0.93441,0.75131,1,0.92327,0.945,0.76375,0.85805,0.65174,0.59185,1.45339,0,0.0003764,0.0003764,0.0003764
43,4348.57,0.79743,1.39975,0.44659,0.95588,0,1,0.93006,0.945,0.76138,1,0.93006,0.945,0.78857,0.72616,0.5942,0.48663,1.35554,0,0.0003368,0.0003368,0.0003368
44,4450.46,0.79624,1.37944,0.4412,0.96196,0,0.9989,0.94118,0.98042,0.7415,0.9989,0.94118,0.98364,0.79353,0.80238,0.56509,0.50681,1.38082,0,0.0002972,0.0002972,0.0002972
45,4552.28,0.78342,1.39766,0.43386,0.95075,0,1,0.93437,0.97648,0.76511,1,0.93437,0.98196,0.81265,0.79085,0.55275,0.54064,1.37653,0,0.0002576,0.0002576,0.0002576
46,4653.94,0.7786,1.38759,0.42769,0.95163,0,1,0.92,0.945,0.756,1,0.92,0.98196,0.79657,0.82543,0.5341,0.57783,1.36926,0,0.000218,0.000218,0.000218
47,4755.68,0.76824,1.36598,0.42056,0.94444,0,0.99477,0.94118,0.945,0.77904,0.99477,0.94118,0.98364,0.76422,0.7519,0.59165,0.48427,1.29803,0,0.0001784,0.0001784,0.0001784
48,4857.48,0.77503,1.38681,0.42491,0.94742,0,1,0.9374,0.945,0.76791,1,0.9374,0.98364,0.78193,0.81097,0.70671,0.53088,1.38729,0,0.0001388,0.0001388,0.0001388
49,4959.21,0.75597,1.37023,0.41185,0.93465,0,1,0.93679,0.98196,0.76308,1,0.93679,0.98364,0.79014,0.77492,0.60825,0.53505,1.33024,0,9.92e-05,9.92e-05,9.92e-05
50,5061.03,0.74629,1.36923,0.40236,0.93969,0,0.99604,0.94118,0.97076,0.77269,0.99604,0.94118,0.98548,0.78688,0.77616,0.63603,0.53691,1.38665,0,5.96e-05,5.96e-05,5.96e-05
